,HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5
0,Charlton,Man City,H,2,0,H,17,8,14,4,13,12,6,6,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,Chelsea,West Ham,H,1,0,H,17,12,10,5,19,14,7,7,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,Coventry,Middlesbrough,A,1,1,D,6,16,3,9,15,21,8,4,5,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
3,Derby,Southampton,D,1,2,A,6,13,4,6,11,13,5,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,Leeds,Everton,H,2,0,H,17,12,8,6,21,20,6,4,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
5,Leicester,Aston Villa,D,0,0,D,5,5,4,3,12,12,5,4,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
6,Liverpool,Bradford,H,0,0,D,16,3,10,2,8,8,6,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
7,Sunderland,Arsenal,H,0,0,D,8,14,2,7,10,21,2,9,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8,Tottenham,Ipswich,H,2,1,H,20,15,6,5,14,13,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
9,Man United,Newcastle,H,1,0,H,19,9,9,6,7,13,7,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
10,Arsenal,Liverpool,H,1,0,H,17,7,12,4,25,20,10,11,2,4,1,2,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1
11,Bradford,Chelsea,H,1,0,H,12,14,3,6,14,16,6,4,0,1,0,0,0,4,1,2,0,0,1,1,0,0,0,0,1,1,0,0
12,Ipswich,Man United,D,1,1,D,13,15,8,6,10,7,4,6,1,4,0,0,1,2,3,0,0,0,1,1,0,1,0,0,1,1,0,1
13,Middlesbrough,Tottenham,D,0,1,A,12,11,6,4,9,18,5,5,2,1,0,0,3,3,1,1,0,0,1,1,1,0,0,0,1,1,1,0
14,Everton,Charlton,H,0,0,D,13,8,8,4,17,15,3,5,2,1,0,1,0,4,2,0,0,0,1,1,1,1,0,0,1,1,1,1
15,Man City,Sunderland,H,2,0,H,15,9,10,4,24,14,7,3,3,3,0,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0
16,Newcastle,Derby,H,1,1,D,9,10,4,5,23,11,9,6,0,3,1,0,0,2,2,2,0,1,0,0,0,1,0,1,0,0,0,1
17,Southampton,Coventry,A,0,1,A,12,7,4,5,18,20,6,5,5,3,0,0,2,1,2,3,0,1,0,0,1,0,0,1,0,0,1,0
18,West Ham,Leicester,A,0,0,D,17,4,12,2,16,14,11,5,3,3,1,0,2,0,4,0,0,1,0,0,1,1,0,1,0,0,1,1
19,Arsenal,Charlton,H,1,2,A,18,7,9,4,12,15,8,3,0,1,0,0,0,4,1,0,0,0,1,0,1,1,0,0,1,1,1,1
20,Bradford,Leicester,D,0,0,D,8,13,4,8,11,12,6,8,1,2,0,0,2,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
21,Everton,Derby,D,2,0,H,12,7,9,4,11,9,11,2,2,3,0,0,3,4,2,5,0,0,1,1,1,1,0,1,0,0,0,1
22,Ipswich,Sunderland,H,0,0,D,14,9,5,3,10,12,7,6,1,1,0,0,2,3,4,4,0,0,1,1,0,1,0,1,0,0,0,0
23,Man City,Coventry,A,0,2,A,14,9,5,8,7,12,5,5,2,3,0,0,4,3,6,4,0,1,0,0,0,0,0,1,0,0,1,0
24,Middlesbrough,Leeds,A,0,2,A,15,16,8,11,12,20,4,8,2,0,0,0,4,4,2,1,0,0,1,1,1,0,0,1,0,1,0,0
25,Newcastle,Tottenham,H,1,0,H,15,10,6,2,13,10,4,2,0,0,0,0,3,4,4,2,0,1,0,0,0,1,0,0,1,1,1,0
26,Southampton,Liverpool,D,0,1,A,14,9,7,4,7,6,7,1,0,0,0,0,3,1,4,2,0,1,0,0,1,0,0,0,1,0,1,1
27,West Ham,Man United,D,0,1,A,17,8,8,5,12,9,7,5,1,0,0,0,2,3,5,1,0,1,0,0,1,1,0,0,1,1,0,1
28,Aston Villa,Chelsea,D,1,1,D,12,11,9,7,13,12,7,10,0,1,0,0,1,4,1,4,0,1,0,1,0,0,0,0,1,1,0,0
29,Leeds,Man City,A,0,2,A,6,8,1,3,18,24,9,4,2,2,0,0,4,4,1,6,0,0,0,1,0,1,0,0,0,0,0,1
30,Man United,Bradford,H,2,0,H,21,6,12,4,12,10,5,1,0,1,0,0,5,2,3,1,0,0,1,0,1,0,0,0,0,1,1,1
31,Sunderland,West Ham,D,1,1,D,17,16,7,9,19,14,4,11,2,3,0,0,3,4,5,7,0,0,1,0,0,0,0,0,0,0,1,0
32,Tottenham,Everton,H,1,2,A,11,11,7,6,11,10,7,5,1,2,0,0,4,5,4,4,0,0,1,0,0,1,0,0,0,1,0,1
33,Charlton,Southampton,D,0,0,D,8,11,6,3,14,16,10,14,3,3,1,0,7,6,8,7,0,0,0,0,0,1,0,0,0,1,0,0
34,Chelsea,Arsenal,D,1,0,H,12,13,5,5,16,22,7,6,3,1,0,0,5,7,5,4,0,0,0,0,1,0,0,0,1,0,0,0
