index,Date,Team,xG,xA,xPTS,match_or_not
0,11/09/2021,Manchester United,2.77,0.62,2.76,1
1,11/09/2021,Crystal Palace,2.89,0.08,2.97,1
2,11/09/2021,Chelsea,1.22,1.17,1.36,1
3,11/09/2021,Wolverhampton Wanderers,2.56,0.19,2.92,1
4,11/09/2021,Arsenal,2.69,0.58,2.68,1
5,11/09/2021,Manchester City,2.75,0.80,2.59,1
6,11/09/2021,Brighton,0.29,0.73,0.80,1
7,11/09/2021,Southampton,0.69,0.73,1.29,1
8,11/09/2021,West Ham,0.73,0.69,1.34,1
9,11/09/2021,Leicester,0.80,2.75,0.28,1
10,11/09/2021,Norwich,0.58,2.69,0.22,1
11,11/09/2021,Brentford,0.73,0.29,1.77,1
12,11/09/2021,Watford,0.19,2.56,0.04,1
13,11/09/2021,Newcastle United,0.62,2.77,0.16,1
14,11/09/2021,Aston Villa,1.17,1.22,1.32,1
15,11/09/2021,Tottenham,0.08,2.89,0.01,1
0,12/09/2021,Liverpool,4.40,0.65,2.93,1
1,12/09/2021,Leeds,0.65,4.40,0.05,1
0,13/09/2021,Everton,1.80,1.82,1.33,1
1,13/09/2021,Burnley,1.82,1.80,1.40,1
0,17/09/2021,Newcastle United,1.18,1.43,1.17,1
1,17/09/2021,Leeds,1.43,1.18,1.56,1
0,18/09/2021,Aston Villa,0.78,0.76,1.34,1
1,18/09/2021,Liverpool,2.77,0.64,2.72,1
2,18/09/2021,Watford,2.42,0.78,2.50,1
3,18/09/2021,Brentford,2.33,1.02,2.41,1
4,18/09/2021,Arsenal,1.10,0.78,1.66,1
5,18/09/2021,Southampton,0.49,1.22,0.73,1
6,18/09/2021,Manchester City,1.22,0.49,1.98,1
7,18/09/2021,Burnley,0.78,1.10,1.02,1
8,18/09/2021,Norwich,0.78,2.42,0.35,1
9,18/09/2021,Wolverhampton Wanderers,1.02,2.33,0.41,1
10,18/09/2021,Everton,0.76,0.78,1.30,1
11,18/09/2021,Crystal Palace,0.64,2.77,0.19,1
0,19/09/2021,Chelsea,2.59,0.71,2.60,1
1,19/09/2021,Manchester United,1.90,1.67,1.52,1
2,19/09/2021,Brighton,1.47,1.25,1.54,1
3,19/09/2021,Leicester,1.25,1.47,1.15,1
4,19/09/2021,West Ham,1.67,1.90,1.18,1
5,19/09/2021,Tottenham,0.71,2.59,0.28,1
0,25/09/2021,Everton,2.27,0.80,2.55,1
1,25/09/2021,West Ham,1.99,1.20,1.95,1
2,25/09/2021,Aston Villa,1.57,1.93,1.11,1
3,25/09/2021,Manchester City,1.69,0.19,2.57,1
4,25/09/2021,Liverpool,2.26,2.94,0.93,1
5,25/09/2021,Brentford,2.94,2.26,1.86,1
6,25/09/2021,Leicester,2.16,0.43,2.57,1
7,25/09/2021,Burnley,0.43,2.16,0.28,1
8,25/09/2021,Newcastle United,2.52,0.90,2.45,1
9,25/09/2021,Watford,0.90,2.52,0.40,1
10,25/09/2021,Leeds,1.20,1.99,0.82,1
11,25/09/2021,Chelsea,0.19,1.69,0.26,1
12,25/09/2021,Manchester United,1.93,1.57,1.62,1
13,25/09/2021,Norwich,0.80,2.27,0.29,1
0,26/09/2021,Arsenal,1.44,0.98,1.78,1
1,26/09/2021,Wolverhampton Wanderers,0.91,0.91,1.36,1
2,26/09/2021,Southampton,0.91,0.91,1.30,1
3,26/09/2021,Tottenham,0.98,1.44,0.94,1
0,27/09/2021,Crystal Palace,1.37,0.65,2.08,1
1,27/09/2021,Brighton,0.65,1.37,0.65,1
0,02/10/2021,Chelsea,3.79,1.53,2.72,1
1,02/10/2021,Wolverhampton Wanderers,1.16,0.87,1.63,1
2,02/10/2021,Leeds,1.57,0.19,2.51,1
3,02/10/2021,Everton,1.32,1.05,1.58,1
4,02/10/2021,Manchester United,1.05,1.32,1.12,1
5,02/10/2021,Norwich,0.67,0.58,1.41,1
6,02/10/2021,Arsenal,0.36,1.12,0.68,1
7,02/10/2021,Burnley,0.58,0.67,1.19,1
8,02/10/2021,Brighton,1.12,0.36,1.99,1
9,02/10/2021,Newcastle United,0.87,1.16,1.02,1
10,02/10/2021,Watford,0.19,1.57,0.30,1
11,02/10/2021,Southampton,1.53,3.79,0.18,1
0,03/10/2021,Tottenham,1.78,1.07,1.90,1
1,03/10/2021,Brentford,1.30,1.37,1.32,1
2,03/10/2021,Leicester,1.04,1.17,1.28,1
3,03/10/2021,Crystal Palace,1.17,1.04,1.41,1
4,03/10/2021,Liverpool,0.95,1.04,1.28,1
5,03/10/2021,Manchester City,1.04,0.95,1.40,1
6,03/10/2021,Aston Villa,1.07,1.78,0.84,1
7,03/10/2021,West Ham,1.37,1.30,1.38,1
0,16/10/2021,Liverpool,3.66,0.30,2.97,1
1,16/10/2021,Leicester,2.97,1.02,2.62,1
2,16/10/2021,Manchester City,2.16,1.08,2.22,1
3,16/10/2021,Wolverhampton Wanderers,2.20,1.21,2.13,1
4,16/10/2021,Southampton,1.83,0.45,2.47,1
5,16/10/2021,Chelsea,0.25,1.62,0.31,1
6,16/10/2021,Norwich,1.16,1.18,1.30,1
7,16/10/2021,Brighton,1.18,1.16,1.37,1
8,16/10/2021,Aston Villa,1.21,2.20,0.65,1
9,16/10/2021,Brentford,1.62,0.25,2.50,1
10,16/10/2021,Leeds,0.45,1.83,0.35,1
11,16/10/2021,Manchester United,1.02,2.97,0.26,1
12,16/10/2021,Burnley,1.08,2.16,0.55,1
13,16/10/2021,Watford,0.30,3.66,0.02,1
0,17/10/2021,Tottenham,1.55,0.65,2.19,1
1,17/10/2021,West Ham,2.03,0.85,2.28,1
2,17/10/2021,Newcastle United,0.65,1.55,0.56,1
3,17/10/2021,Everton,0.85,2.03,0.52,1
0,18/10/2021,Crystal Palace,0.49,1.74,0.41,1
1,18/10/2021,Arsenal,1.74,0.49,2.40,1
0,22/10/2021,Arsenal,3.50,1.41,2.64,1
1,22/10/2021,Aston Villa,1.41,3.50,0.25,1
0,23/10/2021,Chelsea,3.11,0.27,2.92,1
1,23/10/2021,Watford,3.10,1.84,2.22,1
2,23/10/2021,Manchester City,3.57,1.17,2.78,1
3,23/10/2021,Southampton,1.43,0.67,2.01,1
4,23/10/2021,Burnley,0.67,1.43,0.71,1
5,23/10/2021,Crystal Palace,2.26,0.72,2.50,1
6,23/10/2021,Newcastle United,0.72,2.26,0.34,1
7,23/10/2021,Wolverhampton Wanderers,0.86,1.71,0.66,1
8,23/10/2021,Leeds,1.71,0.86,2.09,1
9,23/10/2021,Everton,1.84,3.10,0.60,1
10,23/10/2021,Brighton,1.17,3.57,0.14,1
11,23/10/2021,Norwich,0.27,3.11,0.05,1
0,24/10/2021,Liverpool,4.05,1.36,2.78,1
1,24/10/2021,Leicester,1.00,1.17,1.18,1
2,24/10/2021,West Ham,1.73,0.67,2.25,1
3,24/10/2021,Brentford,1.17,1.00,1.50,1
4,24/10/2021,Tottenham,0.67,1.73,0.52,1
5,24/10/2021,Manchester United,1.36,4.05,0.15,1
0,30/10/2021,Chelsea,2.17,0.16,2.86,1
1,30/10/2021,Manchester United,1.39,1.16,1.52,1
2,30/10/2021,Burnley,2.73,0.83,2.61,1
3,30/10/2021,Crystal Palace,1.05,0.66,1.73,1
4,30/10/2021,Arsenal,1.10,1.99,0.69,1
5,30/10/2021,Southampton,1.91,0.85,2.21,1
6,30/10/2021,Liverpool,1.40,1.51,1.25,1
7,30/10/2021,Brighton,1.51,1.40,1.48,1
8,30/10/2021,Watford,0.85,1.91,0.57,1
9,30/10/2021,Brentford,0.83,2.73,0.27,1
10,30/10/2021,Leicester,1.99,1.10,2.08,1
11,30/10/2021,Manchester City,0.66,1.05,0.94,1
12,30/10/2021,Tottenham,1.16,1.39,1.17,1
13,30/10/2021,Newcastle United,0.16,2.17,0.08,1
0,31/10/2021,West Ham,2.66,0.69,2.76,1
1,31/10/2021,Leeds,1.17,0.66,1.82,1
2,31/10/2021,Norwich,0.66,1.17,0.87,1
3,31/10/2021,Aston Villa,0.69,2.66,0.15,1
0,01/11/2021,Wolverhampton Wanderers,1.69,1.70,1.34,1
1,01/11/2021,Everton,1.70,1.69,1.38,1
0,05/11/2021,Southampton,0.90,0.54,1.72,1
1,05/11/2021,Aston Villa,0.54,0.90,0.92,1
0,06/11/2021,Crystal Palace,2.65,0.25,2.86,1
1,06/11/2021,Manchester City,2.04,0.76,2.37,1
2,06/11/2021,Norwich,1.16,2.79,0.34,1
3,06/11/2021,Chelsea,3.01,0.67,2.73,1
4,06/11/2021,Newcastle United,0.23,1.43,0.29,1
5,06/11/2021,Burnley,0.67,3.01,0.17,1
6,06/11/2021,Brighton,1.43,0.23,2.53,1
7,06/11/2021,Brentford,2.79,1.16,2.50,1
8,06/11/2021,Manchester United,0.76,2.04,0.44,1
9,06/11/2021,Wolverhampton Wanderers,0.25,2.65,0.08,1
0,07/11/2021,West Ham,1.25,1.46,1.21,1
1,07/11/2021,Arsenal,1.49,0.49,2.28,1
2,07/11/2021,Leicester,0.80,1.97,0.45,1
3,07/11/2021,Leeds,1.97,0.80,2.34,1
4,07/11/2021,Everton,0.60,0.80,1.09,1
5,07/11/2021,Tottenham,0.80,0.60,1.53,1
6,07/11/2021,Liverpool,1.46,1.25,1.50,1
7,07/11/2021,Watford,0.49,1.49,0.47,1
0,20/11/2021,Liverpool,3.97,0.27,2.99,1
1,20/11/2021,Watford,2.73,1.67,2.09,1
2,20/11/2021,Chelsea,2.57,0.50,2.73,1
3,20/11/2021,Aston Villa,1.07,0.58,1.79,1
4,20/11/2021,Norwich,0.44,1.13,0.74,1
5,20/11/2021,Wolverhampton Wanderers,1.32,0.44,2.11,1
6,20/11/2021,Crystal Palace,1.75,1.04,1.89,1
7,20/11/2021,Newcastle United,2.18,1.23,2.05,1
8,20/11/2021,Burnley,1.04,1.75,0.87,1
9,20/11/2021,Brentford,1.23,2.18,0.73,1
10,20/11/2021,Southampton,1.13,0.44,1.94,1
11,20/11/2021,West Ham,0.44,1.32,0.61,1
12,20/11/2021,Brighton,0.58,1.07,0.87,1
13,20/11/2021,Manchester United,1.67,2.73,0.70,1
14,20/11/2021,Leicester,0.50,2.57,0.16,1
15,20/11/2021,Arsenal,0.27,3.97,0.01,1
0,21/11/2021,Manchester City,2.61,0.27,2.82,1
1,21/11/2021,Tottenham,2.32,1.47,2.02,1
2,21/11/2021,Leeds,1.47,2.32,0.75,1
3,21/11/2021,Everton,0.27,2.61,0.11,1
0,27/11/2021,Liverpool,3.07,0.97,2.68,1
1,27/11/2021,Arsenal,2.84,0.19,2.91,1
2,27/11/2021,Aston Villa,0.45,0.96,0.80,1
3,27/11/2021,Norwich,1.40,0.30,2.35,1
4,27/11/2021,Brighton,1.90,0.86,2.16,1
5,27/11/2021,Wolverhampton Wanderers,0.30,1.40,0.42,1
6,27/11/2021,Leeds,0.86,1.90,0.62,1
7,27/11/2021,Crystal Palace,0.96,0.45,1.85,1
8,27/11/2021,Newcastle United,0.19,2.84,0.05,1
9,27/11/2021,Southampton,0.97,3.07,0.22,1
0,28/11/2021,Leicester,2.16,2.38,1.24,1
1,28/11/2021,Manchester City,2.72,0.17,2.90,1
2,28/11/2021,Brentford,1.20,0.97,1.59,1
3,28/11/2021,Chelsea,2.35,0.56,2.65,1
4,28/11/2021,Manchester United,0.56,2.35,0.22,1
5,28/11/2021,West Ham,0.17,2.72,0.06,1
6,28/11/2021,Everton,0.97,1.20,1.08,1
7,28/11/2021,Watford,2.38,2.16,1.52,1
0,30/11/2021,Leeds,1.98,0.71,2.43,1
1,30/11/2021,Norwich,1.51,1.16,1.62,1
2,30/11/2021,Newcastle United,1.16,1.51,1.08,1
3,30/11/2021,Crystal Palace,0.71,1.98,0.38,1
0,01/12/2021,Liverpool,2.86,0.51,2.79,1
1,01/12/2021,Chelsea,0.91,0.99,1.27,1
2,01/12/2021,Manchester City,1.02,0.77,1.53,1
3,01/12/2021,Southampton,1.91,1.44,1.75,1
4,01/12/2021,Leicester,1.44,1.91,1.00,1
5,01/12/2021,West Ham,1.15,1.26,1.25,1
6,01/12/2021,Brighton,1.26,1.15,1.43,1
7,01/12/2021,Burnley,0.20,0.71,0.72,1
8,01/12/2021,Wolverhampton Wanderers,0.71,0.20,1.82,1
9,01/12/2021,Aston Villa,0.77,1.02,1.13,1
10,01/12/2021,Watford,0.99,0.91,1.40,1
11,01/12/2021,Everton,0.51,2.86,0.14,1
0,02/12/2021,Tottenham,2.07,0.23,2.78,1
1,02/12/2021,Manchester United,1.86,1.17,1.92,1
2,02/12/2021,Arsenal,1.17,1.86,0.82,1
3,02/12/2021,Brentford,0.23,2.07,0.13,1
0,04/12/2021,Manchester City,4.03,0.68,2.88,1
1,04/12/2021,West Ham,2.02,1.37,1.88,1
2,04/12/2021,Newcastle United,1.71,0.60,2.25,1
3,04/12/2021,Liverpool,2.42,0.10,2.88,1
4,04/12/2021,Southampton,1.34,1.49,1.21,1
5,04/12/2021,Brighton,1.49,1.34,1.51,1
6,04/12/2021,Chelsea,1.37,2.02,0.88,1
7,04/12/2021,Burnley,0.60,1.71,0.52,1
8,04/12/2021,Wolverhampton Wanderers,0.10,2.42,0.07,1
9,04/12/2021,Watford,0.68,4.03,0.08,1
0,05/12/2021,Tottenham,2.01,1.07,2.07,1
1,05/12/2021,Aston Villa,1.85,0.98,2.03,1
2,05/12/2021,Manchester United,0.87,0.52,1.62,1
3,05/12/2021,Brentford,1.20,1.42,1.16,1
4,05/12/2021,Leeds,1.42,1.20,1.54,1
5,05/12/2021,Leicester,0.98,1.85,0.74,1
6,05/12/2021,Crystal Palace,0.52,0.87,1.00,1
7,05/12/2021,Norwich,1.07,2.01,0.69,1
0,06/12/2021,Everton,1.06,1.06,1.34,1
1,06/12/2021,Arsenal,1.06,1.06,1.35,1
0,10/12/2021,Brentford,1.83,0.56,2.43,1
1,10/12/2021,Watford,0.56,1.83,0.38,1
0,11/12/2021,Arsenal,2.08,0.50,2.53,1
1,11/12/2021,Chelsea,2.75,1.73,2.10,1
2,11/12/2021,Liverpool,2.71,0.14,2.91,1
3,11/12/2021,Manchester City,3.00,0.08,2.94,1
4,11/12/2021,Manchester United,2.10,0.99,2.26,1
5,11/12/2021,Leeds,1.73,2.75,0.68,1
6,11/12/2021,Aston Villa,0.14,2.71,0.05,1
7,11/12/2021,Norwich,0.99,2.10,0.54,1
8,11/12/2021,Wolverhampton Wanderers,0.08,3.00,0.03,1
9,11/12/2021,Southampton,0.50,2.08,0.32,1
0,12/12/2021,Leicester,2.06,0.51,2.60,1
1,12/12/2021,Crystal Palace,2.10,1.28,2.00,1
2,12/12/2021,West Ham,1.00,0.55,1.74,1
3,12/12/2021,Burnley,0.55,1.00,0.91,1
4,12/12/2021,Everton,1.28,2.10,0.77,1
5,12/12/2021,Newcastle United,0.51,2.06,0.26,1
0,14/12/2021,Manchester City,3.31,0.23,2.92,1
1,14/12/2021,Aston Villa,1.96,0.50,2.58,1
2,14/12/2021,Norwich,0.50,1.96,0.26,1
3,14/12/2021,Leeds,0.23,3.31,0.05,1
0,15/12/2021,Arsenal,2.81,0.34,2.85,1
1,15/12/2021,Wolverhampton Wanderers,1.12,1.20,1.22,1
2,15/12/2021,Southampton,0.63,1.49,0.64,1
3,15/12/2021,Crystal Palace,1.49,0.63,2.11,1
4,15/12/2021,Brighton,1.20,1.12,1.45,1
5,15/12/2021,West Ham,0.34,2.81,0.09,1
0,16/12/2021,Liverpool,2.94,0.21,2.94,1
1,16/12/2021,Everton,0.63,3.20,0.12,1
2,16/12/2021,Chelsea,3.20,0.63,2.80,1
3,16/12/2021,Newcastle United,0.21,2.94,0.03,1
0,18/12/2021,Arsenal,3.69,1.31,2.70,1
1,18/12/2021,Leeds,1.31,3.69,0.21,1
0,19/12/2021,Manchester City,3.65,0.17,2.98,1
1,19/12/2021,Tottenham,2.80,1.55,2.27,1
2,19/12/2021,Liverpool,1.55,2.80,0.54,1
3,19/12/2021,Chelsea,0.79,0.32,1.81,1
4,19/12/2021,Wolverhampton Wanderers,0.32,0.79,0.78,1
5,19/12/2021,Newcastle United,0.17,3.65,0.01,1
0,26/12/2021,Arsenal,2.88,0.15,2.94,1
1,26/12/2021,Manchester City,3.83,2.43,2.28,1
2,26/12/2021,Tottenham,2.82,0.18,2.90,1
3,26/12/2021,Chelsea,2.83,0.47,2.85,1
4,26/12/2021,Brighton,0.94,1.10,1.19,1
5,26/12/2021,Southampton,1.36,1.54,1.17,1
6,26/12/2021,West Ham,1.54,1.36,1.52,1
7,26/12/2021,Aston Villa,0.47,2.83,0.10,1
8,26/12/2021,Brentford,1.10,0.94,1.49,1
9,26/12/2021,Leicester,2.43,3.83,0.56,1
10,26/12/2021,Crystal Palace,0.18,2.82,0.06,1
11,26/12/2021,Norwich,0.15,2.88,0.03,1
0,27/12/2021,Newcastle United,1.27,1.76,0.98,1
1,27/12/2021,Manchester United,1.76,1.27,1.73,1
0,28/12/2021,West Ham,2.84,1.01,2.58,1
1,28/12/2021,Crystal Palace,2.39,0.59,2.61,1
2,28/12/2021,Leicester,0.62,2.73,0.15,1
3,28/12/2021,Southampton,0.35,2.81,0.10,1
4,28/12/2021,Tottenham,2.81,0.35,2.83,1
5,28/12/2021,Liverpool,2.73,0.62,2.76,1
6,28/12/2021,Watford,1.01,2.84,0.30,1
7,28/12/2021,Norwich,0.59,2.39,0.26,1
0,29/12/2021,Manchester City,1.02,0.24,2.21,1
1,29/12/2021,Chelsea,0.76,0.79,1.30,1
2,29/12/2021,Brighton,0.79,0.76,1.33,1
3,29/12/2021,Brentford,0.24,1.02,0.50,1
0,30/12/2021,Manchester United,1.81,0.87,2.08,1
1,30/12/2021,Burnley,0.87,1.81,0.69,1
0,01/01/2022,West Ham,2.23,2.69,1.08,1
1,01/01/2022,Manchester City,1.95,0.84,2.29,1
2,01/01/2022,Tottenham,1.94,0.30,2.62,1
3,01/01/2022,Crystal Palace,2.69,2.23,1.69,1
4,01/01/2022,Arsenal,0.84,1.95,0.50,1
5,01/01/2022,Watford,0.30,1.94,0.24,1
0,02/01/2022,Leeds,2.04,0.96,2.15,1
1,02/01/2022,Brighton,1.48,1.83,1.09,1
2,02/01/2022,Brentford,0.50,1.14,0.77,1
3,02/01/2022,Chelsea,1.39,1.79,1.05,1
4,02/01/2022,Liverpool,1.79,1.39,1.69,1
5,02/01/2022,Everton,1.83,1.48,1.62,1
6,02/01/2022,Aston Villa,1.14,0.50,1.91,1
7,02/01/2022,Burnley,0.96,2.04,0.62,1
0,03/01/2022,Wolverhampton Wanderers,0.84,0.77,1.40,1
1,03/01/2022,Manchester United,0.77,0.84,1.25,1
0,11/01/2022,Southampton,1.59,0.62,2.19,1
1,11/01/2022,Brentford,0.62,1.59,0.57,1
0,12/01/2022,West Ham,2.89,0.34,2.86,1
1,12/01/2022,Norwich,0.34,2.89,0.08,1
0,14/01/2022,Crystal Palace,0.51,2.18,0.23,1
1,14/01/2022,Brighton,2.18,0.51,2.62,1
0,15/01/2022,Wolverhampton Wanderers,2.30,0.92,2.46,1
1,15/01/2022,Norwich,1.00,0.54,1.84,1
2,15/01/2022,Manchester City,0.90,0.61,1.56,1
3,15/01/2022,Aston Villa,1.83,1.35,1.75,1
4,15/01/2022,Manchester United,1.35,1.83,0.99,1
5,15/01/2022,Newcastle United,1.04,1.50,1.00,1
6,15/01/2022,Watford,1.50,1.04,1.73,1
7,15/01/2022,Everton,0.54,1.00,0.82,1
8,15/01/2022,Chelsea,0.61,0.90,1.06,1
9,15/01/2022,Southampton,0.92,2.30,0.38,1
0,16/01/2022,Liverpool,3.49,0.38,2.90,1
1,16/01/2022,Leeds,2.27,2.35,1.30,1
2,16/01/2022,West Ham,2.35,2.27,1.43,1
3,16/01/2022,Brentford,0.38,3.49,0.06,1
0,18/01/2022,Chelsea,0.57,0.75,1.12,1
1,18/01/2022,Brighton,0.75,0.57,1.50,1
0,19/01/2022,Manchester United,2.06,2.08,1.38,1
1,19/01/2022,Tottenham,4.25,1.95,2.59,1
2,19/01/2022,Leicester,1.95,4.25,0.31,1
3,19/01/2022,Brentford,2.08,2.06,1.38,1
0,21/01/2022,Norwich,0.93,1.31,1.03,1
1,21/01/2022,Watford,1.31,0.93,1.65,1
0,22/01/2022,Wolverhampton Wanderers,0.22,0.74,0.74,1
1,22/01/2022,Aston Villa,0.86,1.24,1.01,1
2,22/01/2022,Newcastle United,1.16,1.13,1.35,1
3,22/01/2022,Manchester United,1.76,0.24,2.74,1
4,22/01/2022,Southampton,1.00,1.63,0.85,1
5,22/01/2022,Manchester City,1.63,1.00,1.86,1
6,22/01/2022,Brentford,0.74,0.22,1.82,1
7,22/01/2022,Everton,1.24,0.86,1.68,1
8,22/01/2022,West Ham,0.24,1.76,0.15,1
9,22/01/2022,Leeds,1.13,1.16,1.34,1
0,23/01/2022,Liverpool,1.50,1.63,1.23,1
1,23/01/2022,Chelsea,1.04,0.33,2.00,1
2,23/01/2022,Leicester,1.71,1.20,1.80,1
3,23/01/2022,Brighton,1.20,1.71,0.93,1
4,23/01/2022,Arsenal,1.36,0.39,2.17,1
5,23/01/2022,Burnley,0.39,1.36,0.56,1
6,23/01/2022,Crystal Palace,1.63,1.50,1.48,1
7,23/01/2022,Tottenham,0.33,1.04,0.67,1
0,05/02/2022,Watford,0.93,0.77,1.48,1
1,05/02/2022,Burnley,0.77,0.93,1.18,1
0,08/02/2022,Newcastle United,2.69,0.82,2.62,1
1,08/02/2022,West Ham,0.91,0.34,1.96,1
2,08/02/2022,Manchester United,1.83,0.77,2.18,1
3,08/02/2022,Burnley,0.77,1.83,0.59,1
4,08/02/2022,Watford,0.34,0.91,0.68,1
5,08/02/2022,Everton,0.82,2.69,0.25,1
0,09/02/2022,Manchester City,1.98,0.46,2.55,1
1,09/02/2022,Southampton,1.73,1.74,1.34,1
2,09/02/2022,Aston Villa,1.50,2.53,0.65,1
3,09/02/2022,Leeds,2.53,1.50,2.14,1
4,09/02/2022,Crystal Palace,1.23,0.30,2.34,1
5,09/02/2022,Norwich,0.30,1.23,0.41,1
6,09/02/2022,Tottenham,1.74,1.73,1.39,1
7,09/02/2022,Brentford,0.46,1.98,0.29,1
0,10/02/2022,Liverpool,2.73,0.54,2.72,1
1,10/02/2022,Arsenal,1.45,0.64,2.19,1
2,10/02/2022,Wolverhampton Wanderers,0.64,1.45,0.56,1
3,10/02/2022,Leicester,0.54,2.73,0.18,1
0,12/02/2022,Manchester City,4.45,0.36,2.99,1
1,12/02/2022,Everton,2.59,0.24,2.87,1
2,12/02/2022,Brighton,1.80,0.53,2.46,1
3,12/02/2022,Southampton,0.68,2.99,0.14,1
4,12/02/2022,Manchester United,2.99,0.68,2.79,1
5,12/02/2022,Crystal Palace,0.50,1.98,0.28,1
6,12/02/2022,Brentford,1.98,0.50,2.56,1
7,12/02/2022,Watford,0.53,1.80,0.36,1
8,12/02/2022,Leeds,0.24,2.59,0.08,1
9,12/02/2022,Norwich,0.36,4.45,0.01,1
0,13/02/2022,Wolverhampton Wanderers,1.87,0.84,2.25,1
1,13/02/2022,Newcastle United,0.53,0.46,1.34,1
2,13/02/2022,Liverpool,1.96,1.16,2.12,1
3,13/02/2022,Leicester,1.41,0.75,1.95,1
4,13/02/2022,West Ham,0.75,1.41,0.76,1
5,13/02/2022,Aston Villa,0.46,0.53,1.19,1
6,13/02/2022,Burnley,1.16,1.96,0.61,1
7,13/02/2022,Tottenham,0.84,1.87,0.54,1
0,15/02/2022,Manchester United,2.75,1.26,2.32,1
1,15/02/2022,Brighton,1.26,2.75,0.50,1
0,19/02/2022,Burnley,0.82,0.45,1.70,1
1,19/02/2022,Liverpool,3.15,0.67,2.75,1
2,19/02/2022,Southampton,2.73,0.20,2.89,1
3,19/02/2022,Tottenham,2.00,2.32,1.17,1
4,19/02/2022,Arsenal,1.52,0.64,2.07,1
5,19/02/2022,Chelsea,1.12,0.62,1.84,1
6,19/02/2022,Watford,1.82,1.03,2.05,1
7,19/02/2022,West Ham,0.85,0.93,1.24,1
8,19/02/2022,Newcastle United,0.93,0.85,1.43,1
9,19/02/2022,Manchester City,2.32,2.00,1.58,1
10,19/02/2022,Brentford,0.64,1.52,0.66,1
11,19/02/2022,Aston Villa,1.03,1.82,0.71,1
12,19/02/2022,Crystal Palace,0.62,1.12,0.84,1
13,19/02/2022,Norwich,0.67,3.15,0.17,1
14,19/02/2022,Everton,0.20,2.73,0.07,1
15,19/02/2022,Brighton,0.45,0.82,0.91,1
0,20/02/2022,Manchester United,2.61,1.74,1.98,1
1,20/02/2022,Wolverhampton Wanderers,0.47,1.55,0.41,1
2,20/02/2022,Leicester,1.55,0.47,2.39,1
3,20/02/2022,Leeds,1.74,2.61,0.81,1
0,23/02/2022,Liverpool,5.33,0.14,3.00,1
1,23/02/2022,Crystal Palace,0.82,1.72,0.60,1
2,23/02/2022,Burnley,1.56,0.69,2.15,1
3,23/02/2022,Tottenham,0.69,1.56,0.61,1
4,23/02/2022,Watford,1.72,0.82,2.17,1
5,23/02/2022,Leeds,0.14,5.33,0.00,1
0,24/02/2022,Arsenal,2.51,1.11,2.28,1
1,24/02/2022,Wolverhampton Wanderers,1.11,2.51,0.54,1
0,25/02/2022,Southampton,3.09,0.42,2.86,1
1,25/02/2022,Norwich,0.42,3.09,0.08,1
0,26/02/2022,Tottenham,2.47,1.90,1.77,1
1,26/02/2022,Aston Villa,1.30,0.63,2.01,1
2,26/02/2022,Newcastle United,2.25,0.49,2.55,1
3,26/02/2022,Manchester City,1.93,0.77,2.35,1
4,26/02/2022,Crystal Palace,1.04,0.26,2.14,1
5,26/02/2022,Burnley,0.26,1.04,0.55,1
6,26/02/2022,Manchester United,2.41,0.44,2.68,1
7,26/02/2022,Watford,0.44,2.41,0.21,1
8,26/02/2022,Everton,0.77,1.93,0.45,1
9,26/02/2022,Brighton,0.63,1.30,0.70,1
10,26/02/2022,Brentford,0.49,2.25,0.30,1
11,26/02/2022,Leeds,1.90,2.47,1.01,1
0,27/02/2022,West Ham,1.62,0.89,1.99,1
