Date,Team,xG,xA,xPTS,match_or_not
13/08/2021,Brentford,1.89,1.02,2.12,1
13/08/2021,Arsenal,1.02,1.89,0.66,1
14/08/2021,Manchester United,1.64,0.57,2.22,1
14/08/2021,Chelsea,1.19,0.32,2.20,1
14/08/2021,Liverpool,1.79,1.33,1.71,1
14/08/2021,Everton,2.39,0.58,2.63,1
14/08/2021,Watford,1.35,1.14,1.48,1
14/08/2021,Brighton,1.69,1.80,1.26,1
14/08/2021,Leicester,0.67,1.33,0.78,1
14/08/2021,Aston Villa,1.14,1.35,1.20,1
14/08/2021,Burnley,1.80,1.69,1.46,1
14/08/2021,Wolverhampton Wanderers,1.33,0.67,1.95,1
14/08/2021,Southampton,0.58,2.39,0.25,1
14/08/2021,Crystal Palace,0.32,1.19,0.51,1
14/08/2021,Norwich,1.33,1.79,1.03,1
14/08/2021,Leeds,0.57,1.64,0.55,1
15/08/2021,West Ham,3.01,1.68,2.27,1
15/08/2021,Tottenham,1.06,2.11,0.65,1
15/08/2021,Manchester City,2.11,1.06,2.13,1
15/08/2021,Newcastle United,1.68,3.01,0.55,1
21/08/2021,Manchester City,2.44,0.03,2.92,1
21/08/2021,Aston Villa,1.18,0.63,1.94,1
21/08/2021,Liverpool,2.64,0.69,2.57,1
21/08/2021,Brighton,1.78,0.41,2.51,1
21/08/2021,Everton,1.86,0.97,2.12,1
21/08/2021,Leeds,0.97,1.86,0.64,1
21/08/2021,Crystal Palace,0.61,0.71,1.21,1
21/08/2021,Brentford,0.71,0.61,1.40,1
21/08/2021,Newcastle United,0.63,1.18,0.74,1
21/08/2021,Watford,0.41,1.78,0.33,1
21/08/2021,Burnley,0.69,2.64,0.30,1
21/08/2021,Norwich,0.03,2.44,0.04,1
22/08/2021,Chelsea,3.64,0.63,2.89,1
22/08/2021,Tottenham,1.73,1.51,1.59,1
22/08/2021,Southampton,0.59,2.26,0.28,1
22/08/2021,Manchester United,2.26,0.59,2.58,1
22/08/2021,Wolverhampton Wanderers,1.51,1.73,1.14,1
22/08/2021,Arsenal,0.63,3.64,0.07,1
23/08/2021,West Ham,2.29,0.63,2.50,1
23/08/2021,Leicester,0.63,2.29,0.34,1
28/08/2021,Manchester City,4.47,0.12,2.99,1
28/08/2021,Everton,1.55,0.70,2.11,1
28/08/2021,Leicester,1.27,1.44,1.19,1
28/08/2021,Southampton,3.46,1.19,2.80,1
28/08/2021,Crystal Palace,1.68,1.45,1.58,1
28/08/2021,West Ham,1.45,1.68,1.13,1
28/08/2021,Newcastle United,1.19,3.46,0.13,1
28/08/2021,Aston Villa,0.43,1.13,0.68,1
28/08/2021,Chelsea,0.57,2.08,0.35,1
28/08/2021,Liverpool,2.08,0.57,2.49,1
28/08/2021,Brentford,1.13,0.43,2.01,1
28/08/2021,Norwich,1.44,1.27,1.50,1
28/08/2021,Brighton,0.70,1.55,0.64,1
28/08/2021,Arsenal,0.12,4.47,0.01,1
29/08/2021,Tottenham,0.92,0.60,1.60,1
29/08/2021,Manchester United,0.94,1.80,0.66,1
29/08/2021,Burnley,1.71,1.52,1.52,1
29/08/2021,Leeds,1.52,1.71,1.15,1
29/08/2021,Watford,0.60,0.92,1.03,1
29/08/2021,Wolverhampton Wanderers,1.80,0.94,2.07,1
11/09/2021,Manchester United,2.77,0.62,2.76,1
11/09/2021,Crystal Palace,2.89,0.08,2.97,1
11/09/2021,Chelsea,1.22,1.17,1.36,1
11/09/2021,Wolverhampton Wanderers,2.56,0.19,2.92,1
11/09/2021,Arsenal,2.69,0.58,2.68,1
11/09/2021,Manchester City,2.75,0.80,2.59,1
11/09/2021,Brighton,0.29,0.73,0.80,1
11/09/2021,Southampton,0.69,0.73,1.29,1
11/09/2021,West Ham,0.73,0.69,1.34,1
11/09/2021,Leicester,0.80,2.75,0.28,1
